RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =          100

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  246  252     0     0  con    0  1.0D+00  4.5D-01  4.532D-03  1.223D+01
  247  253     0     0  con    0  1.0D+00  6.4D-01  5.269D-03  1.222D+01
  248  254     0     0  con    0  1.0D+00  6.7D-01  3.721D-03  1.222D+01
  249  255     0     0  con    0  1.0D+00  6.9D-01  2.017D-03  1.222D+01
  250  256     0     0  con    0  1.0D+00  6.0D-01  2.007D-03  1.221D+01
  251  257     0     0  con    0  1.0D+00  3.6D-01  2.587D-03  1.221D+01
  252  258     0     0  con    0  1.0D+00  8.5D-01  3.778D-03  1.221D+01
  253  259     0     0  con    0  1.0D+00  8.0D-01  8.006D-03  1.221D+01
  254  260     0     0  con    0  1.0D+00  2.3D-01  2.494D-03  1.220D+01
  255  261     0     0  con    0  1.0D+00  2.7D-01  2.141D-03  1.220D+01
  256  262     0     0  con    0  1.0D+00  2.5D-01  2.890D-03  1.220D+01
  257  263     0     0  con    0  1.0D+00  4.5D-01  3.738D-03  1.220D+01
  258  264     0     0  con    0  1.0D+00  9.5D-01  5.933D-03  1.219D+01
  259  265     0     0  con    0  1.0D+00  8.2D-01  3.621D-03  1.219D+01
  260  266     0     0  con    0  1.0D+00  2.7D-01  2.645D-03  1.219D+01
  261  267     0     0  con    0  1.0D+00  5.3D-01  2.124D-03  1.219D+01
  262  268     0     0  con    0  1.0D+00  2.4D-01  2.668D-03  1.219D+01
  263  269     0     0  con    0  1.0D+00  7.7D-01  2.995D-03  1.218D+01
  264  270     0     0  con    0  1.0D+00  1.1D+00  1.228D-02  1.218D+01
  265  271     0     0  con    0  1.0D+00  5.0D-01  2.982D-03  1.218D+01
  266  272     0     0  con    0  1.0D+00  2.5D-01  2.713D-03  1.218D+01
  267  273     0     0  con    0  1.0D+00  3.1D-01  2.527D-03  1.217D+01
  268  274     0     0  con    0  1.0D+00  3.2D-01  2.345D-03  1.217D+01
  269  275     0     0  con    0  1.0D+00  6.0D-01  5.379D-03  1.217D+01
  270  276     0     0  con    0  1.0D+00  7.8D-01  3.809D-03  1.217D+01
  271  277     0     0  con    0  1.0D+00  2.4D-01  2.673D-03  1.217D+01
  272  278     0     0  con    0  1.0D+00  3.5D-01  2.015D-03  1.216D+01
  273  279     0     0  con    0  1.0D+00  3.7D-01  2.723D-03  1.216D+01
  274  280     0     0  con    0  1.0D+00  7.5D-01  3.881D-03  1.216D+01
  275  281     0     0  con    0  1.0D+00  5.7D-01  3.674D-03  1.216D+01
  276  282     0     0  con    0  1.0D+00  2.0D-01  3.211D-03  1.216D+01
  277  283     0     0  con    0  1.0D+00  4.4D-01  2.567D-03  1.215D+01
  278  284     0     0  con    0  1.0D+00  2.0D-01  2.278D-03  1.215D+01
  279  285     0     0  con    0  1.0D+00  6.3D-01  3.820D-03  1.215D+01
  280  287     0     0  con    1  5.0D-01  4.5D-01  5.765D-03  1.215D+01
  281  288     0     0  con    0  1.0D+00  5.4D-01  2.568D-03  1.215D+01
  282  289     0     0  con    0  1.0D+00  4.7D-01  1.571D-03  1.215D+01
  283  290     0     0  con    0  1.0D+00  3.5D-01  2.306D-03  1.214D+01
  284  291     0     0  con    0  1.0D+00  5.4D-01  3.195D-03  1.214D+01
  285  292     0     0  con    0  1.0D+00  6.1D-01  4.627D-03  1.214D+01
  286  293     0     0  con    0  1.0D+00  3.0D-01  2.510D-03  1.214D+01
  287  294     0     0  con    0  1.0D+00  2.6D-01  1.525D-03  1.214D+01
  288  295     0     0  con    0  1.0D+00  3.5D-01  2.002D-03  1.214D+01
  289  296     0     0  con    0  1.0D+00  4.7D-01  5.119D-03  1.213D+01
  290  297     0     0  con    0  1.0D+00  3.7D-01  3.185D-03  1.213D+01
  291  298     0     0  con    0  1.0D+00  3.6D-01  2.628D-03  1.213D+01
  292  299     0     0  con    0  1.0D+00  5.1D-01  3.484D-03  1.213D+01
  293  300     0     0  con    0  1.0D+00  5.1D-01  4.139D-03  1.213D+01
  294  301     0     0  con    0  1.0D+00  5.2D-01  2.357D-03  1.213D+01
  295  302     0     0  con    0  1.0D+00  2.6D-01  1.701D-03  1.213D+01
  296  303     0     0  con    0  1.0D+00  4.4D-01  3.032D-03  1.212D+01
  297  304     0     0  con    0  1.0D+00  1.9D-01  3.549D-03  1.212D+01
  298  305     0     0  con    0  1.0D+00  5.5D-01  3.497D-03  1.212D+01
  299  306     0     0  con    0  1.0D+00  9.3D-01  5.005D-03  1.212D+01
